HRV_ULF,HRV_VLF,HRV_LF,HRV_HF,HRV_VHF,HRV_TP,HRV_LFHF,HRV_LFn,HRV_HFn,HRV_LnHF,time,time_of_day
,,0.023758837340446468,0.04582151330216013,0.009958737305642283,0.07953908794824888,0.5185083518253515,0.29870643419880377,0.5760879899952251,-3.0830015753926086,0.0,2026-04-17 15:54:41.179728896+09:00
,,0.023758837340446468,0.04582151330216013,0.009958737305642283,0.07953908794824888,0.5185083518253515,0.29870643419880377,0.5760879899952251,-3.0830015753926086,0.1,2026-04-17 15:54:41.279728896+09:00
,,0.023758837340446468,0.04582151330216013,0.009958737305642283,0.07953908794824888,0.5185083518253515,0.29870643419880377,0.5760879899952251,-3.0830015753926086,0.2,2026-04-17 15:54:41.379728896+09:00
,,0.023758837340446468,0.04582151330216013,0.009958737305642283,0.07953908794824888,0.5185083518253515,0.29870643419880377,0.5760879899952251,-3.0830015753926086,0.3,2026-04-17 15:54:41.479728896+09:00
,,0.023758837340446468,0.04582151330216013,0.009958737305642283,0.07953908794824888,0.5185083518253515,0.29870643419880377,0.5760879899952251,-3.0830015753926086,0.4,2026-04-17 15:54:41.579728896+09:00
,,0.023735160209411587,0.04305188203688409,0.009742991234285722,0.0765300334805814,0.5239761724511618,0.3101417721897914,0.5625488462357461,-3.14534933159861,0.5,2026-04-17 15:54:41.679728896+09:00
,,0.023735160209411587,0.04305188203688409,0.009742991234285722,0.0765300334805814,0.5278817586124548,0.3101417721897914,0.5625488462357461,-3.14534933159861,0.6,2026-04-17 15:54:41.779728896+09:00
,,0.023735160209411587,0.04305188203688409,0.009742991234285722,0.0765300334805814,0.5308109482334247,0.3101417721897914,0.5625488462357461,-3.14534933159861,0.7,2026-04-17 15:54:41.879728896+09:00
,,0.02481524908303135,0.05412012714861072,0.009665742010488063,0.08860111824213013,0.5227788021059914,0.28007828315683286,0.6108289401123655,-2.9165491262992584,0.8,2026-04-17 15:54:41.979728896+09:00
,,0.02481524908303135,0.05412012714861072,0.009665742010488063,0.08860111824213013,0.5163530852040447,0.28007828315683286,0.6108289401123655,-2.9165491262992584,0.9,2026-04-17 15:54:42.079728896+09:00
,,0.02481524908303135,0.05412012714861072,0.009665742010488063,0.08860111824213013,0.5110956804660883,0.28007828315683286,0.6108289401123655,-2.9165491262992584,1.0,2026-04-17 15:54:42.179728896+09:00
,,0.02481524908303135,0.05412012714861072,0.009665742010488063,0.08860111824213013,0.5067145098511247,0.28007828315683286,0.6108289401123655,-2.9165491262992584,1.1,2026-04-17 15:54:42.279728896+09:00
,,0.02481524908303135,0.05412012714861072,0.009665742010488063,0.08860111824213013,0.503007365484617,0.28007828315683286,0.6108289401123655,-2.9165491262992584,1.2,2026-04-17 15:54:42.379728896+09:00
,,0.02481524908303135,0.05412012714861072,0.009665742010488063,0.08860111824213013,0.49982981317046754,0.28007828315683286,0.6108289401123655,-2.9165491262992584,1.3,2026-04-17 15:54:42.479728896+09:00
,,0.02481524908303135,0.05412012714861072,0.009665742010488063,0.08860111824213013,0.4970759344982047,0.28007828315683286,0.6108289401123655,-2.9165491262992584,1.4,2026-04-17 15:54:42.579728896+09:00
,,0.023941444775247143,0.04161208156707548,0.009683128396641288,0.0752366547389639,0.5019679639299507,0.31821516863439486,0.5530825594445951,-3.17936473159384,1.5,2026-04-17 15:54:42.679728896+09:00
,,0.023941444775247143,0.04161208156707548,0.009683128396641288,0.0752366547389639,0.5062844604873736,0.31821516863439486,0.5530825594445951,-3.17936473159384,1.6,2026-04-17 15:54:42.779728896+09:00
,,0.023941444775247143,0.04161208156707548,0.009683128396641288,0.0752366547389639,0.510121346316194,0.31821516863439486,0.5530825594445951,-3.17936473159384,1.7,2026-04-17 15:54:42.879728896+09:00
,,0.02410365687688963,0.042150275472750916,0.009941359683992505,0.07619529203363307,0.5133702501064502,0.31634050127729846,0.5531873997430908,-3.1665140590217997,1.8,2026-04-17 15:54:42.979728896+09:00
,,0.02410365687688963,0.042150275472750916,0.009941359683992505,0.07619529203363307,0.5162942635176808,0.31634050127729846,0.5531873997430908,-3.1665140590217997,1.9,2026-04-17 15:54:43.079728896+09:00
,,0.02410365687688963,0.042150275472750916,0.009941359683992505,0.07619529203363307,0.5189397994611751,0.31634050127729846,0.5531873997430908,-3.1665140590217997,2.0,2026-04-17 15:54:43.179728896+09:00
,,0.02410365687688963,0.042150275472750916,0.009941359683992505,0.07619529203363307,0.521344832137079,0.31634050127729846,0.5531873997430908,-3.1665140590217997,2.1,2026-04-17 15:54:43.279728896+09:00
,,0.02410365687688963,0.042150275472750916,0.009941359683992505,0.07619529203363307,0.5235407315368173,0.31634050127729846,0.5531873997430908,-3.1665140590217997,2.2,2026-04-17 15:54:43.379728896+09:00
,,0.02410365687688963,0.042150275472750916,0.009941359683992505,0.07619529203363307,0.5255536393199108,0.31634050127729846,0.5531873997430908,-3.1665140590217997,2.3,2026-04-17 15:54:43.479728896+09:00
,,0.02627788350518767,0.05486520782247327,0.009611497132057379,0.09075458845971832,0.5236896338859176,0.28954881456876624,0.6045447260975169,-2.9028758686585823,2.4,2026-04-17 15:54:43.579728896+09:00
,,0.02627788350518767,0.05486520782247327,0.009611497132057379,0.09075458845971832,0.5219690134853086,0.28954881456876624,0.6045447260975169,-2.9028758686585823,2.5,2026-04-17 15:54:43.679728896+09:00
,,0.02627788350518767,0.05486520782247327,0.009611497132057379,0.09075458845971832,0.5203758464477075,0.28954881456876624,0.6045447260975169,-2.9028758686585823,2.6,2026-04-17 15:54:43.779728896+09:00
,,0.02627788350518767,0.05486520782247327,0.009611497132057379,0.09075458845971832,0.5188964770556495,0.28954881456876624,0.6045447260975169,-2.9028758686585823,2.7,2026-04-17 15:54:43.879728896+09:00
,,0.02627788350518767,0.05486520782247327,0.009611497132057379,0.09075458845971832,0.5175191331389057,0.28954881456876624,0.6045447260975169,-2.9028758686585823,2.8,2026-04-17 15:54:43.979728896+09:00
,,0.02457197477371335,0.043007329414047474,0.010011662043237985,0.07759096623099881,0.5193132916139648,0.3166860263159922,0.5542826891214221,-3.146384726324303,2.9,2026-04-17 15:54:44.079728896+09:00
,,0.02457197477371335,0.043007329414047474,0.010011662043237985,0.07759096623099881,0.5209916979293426,0.3166860263159922,0.5542826891214221,-3.146384726324303,3.0,2026-04-17 15:54:44.179728896+09:00
,,0.02457197477371335,0.043007329414047474,0.010011662043237985,0.07759096623099881,0.5225652038500094,0.3166860263159922,0.5542826891214221,-3.146384726324303,3.1,2026-04-17 15:54:44.279728896+09:00
,,0.02457197477371335,0.043007329414047474,0.010011662043237985,0.07759096623099881,0.5240433457754842,0.3166860263159922,0.5542826891214221,-3.146384726324303,3.2,2026-04-17 15:54:44.379728896+09:00
,,0.02457197477371335,0.043007329414047474,0.010011662043237985,0.07759096623099881,0.5254345381759311,0.3166860263159922,0.5542826891214221,-3.146384726324303,3.3,2026-04-17 15:54:44.479728896+09:00
,,0.02681086181817724,0.05716817172934524,0.009129263269526632,0.09310829681704912,0.5238216176618118,0.28795352009132535,0.6139965361161793,-2.8617579737637877,3.4,2026-04-17 15:54:44.579728896+09:00
,,0.02681086181817724,0.05716817172934524,0.009129263269526632,0.09310829681704912,0.5222983038429212,0.28795352009132535,0.6139965361161793,-2.8617579737637877,3.5,2026-04-17 15:54:44.679728896+09:00
,,0.02681086181817724,0.05716817172934524,0.009129263269526632,0.09310829681704912,0.5208573313115383,0.28795352009132535,0.6139965361161793,-2.8617579737637877,3.6,2026-04-17 15:54:44.779728896+09:00
,,0.02681086181817724,0.05716817172934524,0.009129263269526632,0.09310829681704912,0.5194921994397019,0.28795352009132535,0.6139965361161793,-2.8617579737637877,3.7,2026-04-17 15:54:44.879728896+09:00
,,0.02681086181817724,0.05716817172934524,0.009129263269526632,0.09310829681704912,0.5181970743305236,0.28795352009132535,0.6139965361161793,-2.8617579737637877,3.8,2026-04-17 15:54:44.979728896+09:00
,,0.025205921573632075,0.04473016636510386,0.010083959332173719,0.08002004727090965,0.5193299117384899,0.3149950847729053,0.5589870025153683,-3.10710714222608,3.9,2026-04-17 15:54:45.079728896+09:00
,,0.025205921573632075,0.04473016636510386,0.010083959332173719,0.08002004727090965,0.5204074887850919,0.3149950847729053,0.5589870025153683,-3.10710714222608,4.0,2026-04-17 15:54:45.179728896+09:00
,,0.025205921573632075,0.04473016636510386,0.010083959332173719,0.08002004727090965,0.5214337526389986,0.3149950847729053,0.5589870025153683,-3.10710714222608,4.1,2026-04-17 15:54:45.279728896+09:00
,,0.025205921573632075,0.04473016636510386,0.010083959332173719,0.08002004727090965,0.522412283290398,0.3149950847729053,0.5589870025153683,-3.10710714222608,4.2,2026-04-17 15:54:45.379728896+09:00
,,0.025205921573632075,0.04473016636510386,0.010083959332173719,0.08002004727090965,0.5233463352758246,0.3149950847729053,0.5589870025153683,-3.10710714222608,4.3,2026-04-17 15:54:45.479728896+09:00
,,0.025205921573632075,0.04473016636510386,0.010083959332173719,0.08002004727090965,0.5242388738396768,0.3149950847729053,0.5589870025153683,-3.10710714222608,4.4,2026-04-17 15:54:45.579728896+09:00
,,0.02556097367460586,0.0453376188983244,0.009957901968055665,0.08085649454098592,0.5250987180985612,0.31612765084255634,0.5607170970705747,-3.0936181518604395,4.5,2026-04-17 15:54:45.679728896+09:00
,,0.02556097367460586,0.0453376188983244,0.009957901968055665,0.08085649454098592,0.5259219732400463,0.31612765084255634,0.5607170970705747,-3.0936181518604395,4.6,2026-04-17 15:54:45.779728896+09:00
