UNIX Timestamp,ECG,HR,RR,Marker
1776408532484082266,0.152,75
1776408532491774056,0.309
1776408532499465846,0.213
1776408532507157636,0.23800000000000002
1776408532514849426,0.296
1776408532522541216,0.255
1776408532530233006,0.247
1776408532537924796,0.277
1776408532545616586,0.28700000000000003
1776408532553308376,0.294
1776408532561000166,0.296
1776408532568691956,0.289
1776408532576383746,0.301
1776408532584075536,0.321
1776408532591767326,0.336
1776408532599459116,0.336
1776408532607150906,0.341
1776408532614842696,0.358
1776408532622534486,0.382
1776408532630226276,0.399
1776408532637918066,0.399
1776408532645609856,0.399
1776408532653301646,0.392
1776408532660993436,0.358
1776408532668685226,0.331
1776408532676377016,0.306
1776408532684068806,0.264
1776408532691760596,0.223
1776408532699452386,0.179
1776408532707144176,0.122
1776408532714835966,0.085
1776408532722527756,0.063
1776408532730219546,0.036000000000000004
1776408532737911336,-0.002
1776408532745603126,-0.019
1776408532753294916,-0.004
1776408532760986706,0.0
1776408532768678496,-0.014
1776408532776370286,-0.022
1776408532784062076,-0.022
1776408532791753866,-0.022
1776408532799445656,-0.017
1776408532807137446,-0.009000000000000001
1776408532814829236,0.0
1776408532822521026,0.012
1776408532830212816,0.019
1776408532837904606,0.014
1776408532845596396,0.017
1776408532853288186,0.022
1776408532860979976,0.022
1776408532868671766,0.022
1776408532876363556,0.017
1776408532884055346,0.0
1776408532891747136,-0.002
1776408532899438926,0.004
1776408532907130716,0.004
1776408532914822506,0.0
1776408532922514296,0.002
1776408532930206086,0.009000000000000001
1776408532937897876,0.002
1776408532945589666,-0.004
1776408532953281456,0.0
1776408532960973246,0.007
1776408532968665036,0.017
1776408532976356826,0.019
1776408532984048616,0.019
1776408532991740406,0.022
1776408532999432196,0.026000000000000002
1776408533007123986,0.022
1776408533014815776,0.002
1776408533022507566,0.002,,777
1776408533030199356,0.041
1776408533037891146,0.066
1776408533045582948,0.049
1776408533053274807,0.034
1776408533060966666,0.039
1776408533068658525,0.061
1776408533076350384,0.093
1776408533084042243,0.10300000000000001
1776408533091734102,0.098
1776408533099425961,0.098
1776408533107117820,0.078
1776408533114809679,0.039
1776408533122501538,0.029
1776408533130193397,0.044
1776408533137885256,0.049
1776408533145577115,0.051000000000000004
1776408533153268974,0.056
1776408533160960833,0.058
1776408533168652692,0.056
1776408533176344551,0.149
1776408533184036410,0.5690000000000001
1776408533191728269,1.288
1776408533199420128,1.418
1776408533207111987,0.058
1776408533214803846,-1.599
1776408533222495705,-1.621
1776408533230187564,-0.6990000000000001
1776408533237879423,-0.309
1776408533245571282,-0.09
1776408533253263141,0.233
1776408533260955000,0.264
1776408533268646859,0.193
1776408533276338718,0.255
1776408533284030577,0.269
1776408533291722436,0.223
1776408533299414295,0.24
1776408533307106154,0.272
1776408533314798013,0.269
1776408533322489872,0.267
1776408533330181731,0.28400000000000003
1776408533337873590,0.296
1776408533345565449,0.296
1776408533353257308,0.309
1776408533360949167,0.323
1776408533368641026,0.333
1776408533376332885,0.34500000000000003
1776408533384024744,0.365
1776408533391716603,0.377
1776408533399408462,0.377
1776408533407100321,0.375
1776408533414792180,0.385
1776408533422484039,0.382
1776408533430175898,0.355
1776408533437867757,0.321
1776408533445559616,0.296
1776408533453251475,0.264
1776408533460943334,0.211
1776408533468635193,0.164
1776408533476327052,0.132
1776408533484018911,0.098
1776408533491710770,0.053
1776408533499402629,0.026000000000000002
1776408533507094488,0.019
1776408533514786347,0.007
1776408533522478206,-0.004
1776408533530170065,0.002
1776408533537861924,0.009000000000000001
1776408533545553783,0.009000000000000001
1776408533553245642,0.017
1776408533560937501,0.014
1776408533568629360,0.017
1776408533576321219,0.036000000000000004
1776408533584013078,0.044
1776408533591704937,0.044
1776408533599396796,0.056
1776408533607088716,0.056,75
1776408533614780575,0.036000000000000004
1776408533622472434,0.034
1776408533630164293,0.051000000000000004
1776408533637856152,0.056
1776408533645548011,0.041
1776408533653239870,0.031
1776408533660931729,0.039
1776408533668623588,0.036000000000000004
1776408533676315447,0.024
1776408533684007306,0.014
1776408533691699165,0.004
1776408533699391024,0.0
1776408533707082883,-0.002
1776408533714774742,-0.007
1776408533722466601,0.007
1776408533730158460,0.019
1776408533737850319,0.014
1776408533745542178,0.009000000000000001
1776408533753234037,0.017
1776408533760925896,0.019
1776408533768617755,0.019
1776408533776309614,0.019
1776408533784001473,0.022
1776408533791693332,0.019
1776408533799385191,0.017
1776408533807077050,0.026000000000000002
1776408533814768909,0.031
1776408533822460768,0.031
1776408533830152627,0.029
1776408533837844486,0.036000000000000004
1776408533845536345,0.058
1776408533853228204,0.078
1776408533860920063,0.083,,839
1776408533868611922,0.083
1776408533876303781,0.063
1776408533883995640,0.041
1776408533891687499,0.058
1776408533899379358,0.076
1776408533907071217,0.049
1776408533914763076,0.041
1776408533922454935,0.066
1776408533930146794,0.063
1776408533937838653,0.049
1776408533945530512,0.056
1776408533953222371,0.188
1776408533960914230,0.679
1776408533968606089,1.371
1776408533976297948,1.2630000000000001
1776408533983989807,-0.28400000000000003
1776408533991681666,-1.732
1776408533999373525,-1.442
1776408534007065384,-0.544
1776408534014757243,-0.255
1776408534022449102,-0.019
1776408534030140961,0.269
1776408534037832820,0.245
1776408534045524679,0.191
1776408534053216538,0.274
1776408534060908397,0.28700000000000003
1776408534068600256,0.257
1776408534076292115,0.279
1776408534083983974,0.294
1776408534091675833,0.28700000000000003
1776408534099367692,0.291
1776408534107059551,0.299
1776408534114751410,0.306
1776408534122443269,0.338
1776408534130135128,0.35000000000000003
1776408534137826987,0.341
1776408534145518846,0.35000000000000003
1776408534153210705,0.372
1776408534160902564,0.385
