UNIX Timestamp,ECG,HR,RR,Marker,datetime_utc,datetime_local,elapsed_seconds
1776408881179728984,0.056,,,,2026-04-17 06:54:41.179728 UTC,2026-04-17 06:54:41.179728,0.0
1776408881187420774,0.036,,,,2026-04-17 06:54:41.187420 UTC,2026-04-17 06:54:41.187420,0.00769179
1776408881195112564,0.039,,,,2026-04-17 06:54:41.195112 UTC,2026-04-17 06:54:41.195112,0.01538358
1776408881202804354,0.041,,,,2026-04-17 06:54:41.202804 UTC,2026-04-17 06:54:41.202804,0.02307537
1776408881210496144,0.044,,,,2026-04-17 06:54:41.210496 UTC,2026-04-17 06:54:41.210496,0.03076716
1776408881218187934,0.061,,,,2026-04-17 06:54:41.218187 UTC,2026-04-17 06:54:41.218187,0.03845895
1776408881225879724,0.139,,,,2026-04-17 06:54:41.225879 UTC,2026-04-17 06:54:41.225879,0.04615074
1776408881233571514,0.476,,,,2026-04-17 06:54:41.233571 UTC,2026-04-17 06:54:41.233571,0.05384253
1776408881241263304,1.138,,,,2026-04-17 06:54:41.241263 UTC,2026-04-17 06:54:41.241263,0.06153432
1776408881248955094,1.354,,,,2026-04-17 06:54:41.248955 UTC,2026-04-17 06:54:41.248955,0.06922611
1776408881256646884,0.176,,,,2026-04-17 06:54:41.256646 UTC,2026-04-17 06:54:41.256646,0.0769179
1776408881264338674,-1.425,,,,2026-04-17 06:54:41.264338 UTC,2026-04-17 06:54:41.264338,0.08460969
1776408881272030464,-1.57,,,,2026-04-17 06:54:41.272030 UTC,2026-04-17 06:54:41.272030,0.09230148
1776408881279722254,-0.726,,,,2026-04-17 06:54:41.279722 UTC,2026-04-17 06:54:41.279722,0.09999327
1776408881287414044,-0.336,,,,2026-04-17 06:54:41.287414 UTC,2026-04-17 06:54:41.287414,0.10768506
1776408881295105834,-0.149,,,,2026-04-17 06:54:41.295105 UTC,2026-04-17 06:54:41.295105,0.11537685
1776408881302797624,0.176,,,,2026-04-17 06:54:41.302797 UTC,2026-04-17 06:54:41.302797,0.12306864
1776408881310489414,0.242,,,,2026-04-17 06:54:41.310489 UTC,2026-04-17 06:54:41.310489,0.13076043
1776408881318181204,0.169,,,,2026-04-17 06:54:41.318181 UTC,2026-04-17 06:54:41.318181,0.13845222
1776408881325872994,0.233,,,,2026-04-17 06:54:41.325872 UTC,2026-04-17 06:54:41.325872,0.14614401
1776408881333564784,0.274,,,,2026-04-17 06:54:41.333564 UTC,2026-04-17 06:54:41.333564,0.1538358
1776408881341256574,0.24,,,,2026-04-17 06:54:41.341256 UTC,2026-04-17 06:54:41.341256,0.16152759
1776408881348948364,0.242,,,,2026-04-17 06:54:41.348948 UTC,2026-04-17 06:54:41.348948,0.16921938
1776408881356640154,0.277,,,,2026-04-17 06:54:41.356640 UTC,2026-04-17 06:54:41.356640,0.17691117
