elapsed_seconds,average_HRV_LFHF,files_in_average
0.0,0.7189831051104146,2
0.09999999999999787,0.7189831051104146,2
0.19999999999999574,0.7171022110665916,2
0.2999999999999936,0.7161617640446802,2
0.3999999999999915,0.7155974958315332,2
0.49999999999998934,0.7152213170227686,2
0.5999999999999872,0.7119454132374832,2
0.6999999999999851,0.7086027165961445,2
0.799999999999983,0.705215491384104,2
0.8999999999999808,0.7008171633137161,2
0.9999999999999787,0.6972185312561255,2
1.0999999999999766,0.6942196712081335,2
1.1999999999999744,0.6896339609544448,2
1.2999999999999723,0.6857033521655682,2
1.3999999999999702,0.6822968245485421,2
1.499999999999968,0.6793161128836441,2
1.599999999999966,0.6751260325268351,2
1.6999999999999638,0.6705808989193802,2
1.7999999999999616,0.6653359714785549,2
1.8999999999999595,0.6606155367818118,2
1.9999999999999574,0.6564140796070477,2
2.0999999999999552,0.6525945730845348,2
2.199999999999953,0.6491071975639798,2
2.299999999999951,0.6459104366701376,2
2.399999999999949,0.6395211240415336,2
2.4999999999999467,0.6336232969997435,2
2.5999999999999446,0.6281623460351231,2
2.6999999999999424,0.6230914629965469,2
2.7999999999999403,0.6179305640193034,2
2.899999999999938,0.6131137249738756,2
2.999999999999936,0.6086413044217891,2
3.099999999999934,0.6039169681958982,2
3.199999999999932,0.5989484631302909,2
3.2999999999999297,0.5937573335343533,2
3.3999999999999275,0.5883626615106854,2
3.4999999999999254,0.5827814089282647,2
3.5999999999999233,0.5770287039405035,2
3.699999999999921,0.571118082263613,2
3.799999999999919,0.5650616913352184,2
3.899999999999917,0.5590666896311762,2
3.9999999999999147,0.5533641270346479,2
4.099999999999913,0.5479331150379542,2
4.1999999999999105,0.5414006474680029,2
4.299999999999908,0.5351835713733457,2
4.399999999999906,0.5292428097717847,2
4.499999999999904,0.5235603421529001,2
4.599999999999902,0.5168982103176745,2
4.6999999999999,0.5105136673089156,2
4.799999999999898,0.5052836363916079,2
4.8999999999998956,0.5002628067109933,2
4.999999999999893,0.49543887231197153,2
5.099999999999891,0.4907226789560356,2
5.199999999999889,0.48618445516070086,2
5.299999999999887,0.48181431372815625,2
5.399999999999885,0.47751272454934457,2
5.499999999999883,0.4733159974083543,2
5.599999999999881,0.46917933246687615,2
5.6999999999998785,0.4650996230594181,2
5.799999999999876,0.46107397314187737,2
5.899999999999874,0.4570996797397582,2
5.999999999999872,0.4531742171227939,2
6.09999999999987,0.4493920142073673,2
6.199999999999868,0.44564768717787484,2
6.299999999999866,0.4420203703680538,2
6.399999999999864,0.4385046633062275,2
6.4999999999998614,0.43625289237163195,2
6.599999999999859,0.4340683384798618,2
6.699999999999857,0.4319480361731438,2
6.799999999999855,0.42988919190430164,2
6.899999999999853,0.42788917175742636,2
6.999999999999851,0.42594549020623773,2
7.099999999999849,0.4233724437929298,2
7.1999999999998465,0.42086989180190343,2
7.299999999999844,0.41751306469845717,2
7.399999999999842,0.4142457529844349,2
7.49999999999984,0.41115381262751716,2
7.599999999999838,0.40814218240974043,2
7.699999999999836,0.4059001341740591,2
7.799999999999834,0.4037148466532062,2
7.899999999999832,0.4015841913203748,2
7.9999999999998295,0.3989372047429187,2
8.099999999999827,0.3963547788136923,2
8.199999999999825,0.3939058799650445,2
8.299999999999823,0.39208115400512655,2
8.399999999999821,0.39051040961980565,2
8.499999999999819,0.3889761941736786,2
8.599999999999817,0.38747724804815226,2
8.699999999999815,0.3860123688800241,2
8.799999999999812,0.3841163836465476,2
8.89999999999981,0.3828537906404324,2
8.999999999999808,0.37787045628472704,2
9.099999999999806,0.3728871219290145,2
9.199999999999804,0.36796648404142945,2
9.299999999999802,0.3630828177107972,2
